NextBus,Description,ServiceNo,MinutesLeft,EstimatedArrival,Feature,Load,On Time,Type
NextBus3,Hougang Ctrl Int,151,21,30/1/2025 13:52,Wheelchair Accessible,Seats Available,0,Single Deck
NextBus3,Hougang Ctrl Int,74,24,30/1/2025 13:54,Wheelchair Accessible,Seats Available,0,Single Deck
NextBus3,Bishan Int,52,29,30/1/2025 14:00,Wheelchair Accessible,Seats Available,1,Single Deck
NextBus3,Gali Batu Ter,184,36,30/1/2025 14:06,Wheelchair Accessible,Seats Available,1,Single Deck
NextBus3,Gali Batu Ter,75,39,30/1/2025 14:09,Wheelchair Accessible,Seats Available,1,Single Deck
NextBus3,Bt Batok Int,61,40,30/1/2025 14:10,Wheelchair Accessible,Standing Available,1,Single Deck
NextBus3,Eunos Int,154,42,30/1/2025 14:12,Wheelchair Accessible,Seats Available,0,Double Deck
