NextBus,Description,ServiceNo,MinutesLeft,EstimatedArrival,Feature,Load,On Time,Type
NextBus2,Hougang Ctrl Int,151,11,30/1/2025 13:42,Wheelchair Accessible,Seats Available,1,Single Deck
NextBus2,Bishan Int,52,14,30/1/2025 13:44,Wheelchair Accessible,Seats Available,1,Single Deck
NextBus2,Hougang Ctrl Int,74,16,30/1/2025 13:46,Wheelchair Accessible,Seats Available,1,Double Deck
NextBus2,Gali Batu Ter,75,21,30/1/2025 13:51,Wheelchair Accessible,Seats Available,1,Single Deck
NextBus2,Gali Batu Ter,184,22,30/1/2025 13:53,Wheelchair Accessible,Seats Available,1,Single Deck
NextBus2,Bt Batok Int,61,26,30/1/2025 13:56,Wheelchair Accessible,Seats Available,1,Single Deck
NextBus2,Eunos Int,154,37,30/1/2025 14:07,Wheelchair Accessible,Seats Available,1,Double Deck
